company_slug,company_name,industry,city,draft_description,status,is_public,note
ainua,AIN.UA,Media,,"AIN.UA — компанія у сфері Media. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
airslate,airSlate,IT,,"airSlate — компанія у сфері IT. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
ajax-systems,Ajax Systems,IT,,"Ajax Systems — компанія у сфері IT. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
ajax-systems-manufacturing,Ajax Systems Manufacturing,Технології / виробництво,Україна,"Ajax Systems Manufacturing — компанія у сфері Технології / виробництво. Компанія вказана з містом: Україна. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
allbiz-ukraine,Allbiz Ukraine,E-commerce,,"Allbiz Ukraine — компанія у сфері E-commerce. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
allset,Allset,IT,,"Allset — компанія у сфері IT. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
alterra-group,Alterra Group,Нерухомість,,"Alterra Group — компанія у сфері Нерухомість. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
amic-energy,AMIC Energy,АЗС,Україна,"AMIC Energy — компанія у сфері АЗС. Компанія вказана з містом: Україна. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
arcelormittal-tubular-products-ukraine,ArcelorMittal Tubular Products Ukraine,Виробництво,,"ArcelorMittal Tubular Products Ukraine — компанія у сфері Виробництво. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
argo,Argo,Ритейл,,"Argo — компанія у сфері Ритейл. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
aroma-kava,Aroma Kava,HoReCa,,"Aroma Kava — компанія у сфері HoReCa. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
arricano,Arricano,Нерухомість,,"Arricano — компанія у сфері Нерухомість. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
artjoker,Artjoker,IT,,"Artjoker — компанія у сфері IT. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
arx,ARX,Страхування,,"ARX — компанія у сфері Страхування. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
arzinger,Arzinger,Юридичні послуги,,"Arzinger — компанія у сфері Юридичні послуги. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
asstra-ukraine,AsstrA Ukraine,Логістика,,"AsstrA Ukraine — компанія у сфері Логістика. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
asters,Asters,Юридичні послуги,,"Asters — компанія у сфері Юридичні послуги. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
astound-commerce-ukraine,Astound Commerce Ukraine,IT,,"Astound Commerce Ukraine — компанія у сфері IT. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
attendify,Attendify,IT,,"Attendify — компанія у сфері IT. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
audi-ukraine,Audi Ukraine,Авто,,"Audi Ukraine — компанія у сфері Авто. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
autodoc-ukraine,AutoDoc Ukraine,Авто,,"AutoDoc Ukraine — компанія у сфері Авто. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
autoria,AutoRia,E-commerce,,"AutoRia — компанія у сфері E-commerce. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
avalon,Avalon,Нерухомість,,"Avalon — компанія у сфері Нерухомість. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
avantage-7,Avantage 7,АЗС,Україна,"Avantage 7 — компанія у сфері АЗС. Компанія вказана з містом: Україна. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
avellum,Avellum,Юридичні послуги,,"Avellum — компанія у сфері Юридичні послуги. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
avenga-ukraine,Avenga Ukraine,IT,,"Avenga Ukraine — компанія у сфері IT. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
bader-ukraine,Bader Ukraine,Виробництво,,"Bader Ukraine — компанія у сфері Виробництво. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
baker-mckenzie-ukraine,Baker McKenzie Ukraine,Юридичні послуги,,"Baker McKenzie Ukraine — компанія у сфері Юридичні послуги. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
baker-tilly-ukraine,Baker Tilly Ukraine,Консалтинг,,"Baker Tilly Ukraine — компанія у сфері Консалтинг. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
banda-agency,Banda Agency,Media,,"Banda Agency — компанія у сфері Media. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
basf-agricultural-solutions-ukraine,BASF Agricultural Solutions Ukraine,Агро,,"BASF Agricultural Solutions Ukraine — компанія у сфері Агро. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
baumit-ukraine,Baumit Ukraine,Будівництво,,"Baumit Ukraine — компанія у сфері Будівництво. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
bayadera-group,Bayadera Group,FMCG,,"Bayadera Group — компанія у сфері FMCG. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
bayer-cropscience-ukraine,Bayer CropScience Ukraine,Агро,,"Bayer CropScience Ukraine — компанія у сфері Агро. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
bayer-ukraine,Bayer Ukraine,Фармацевтика,,"Bayer Ukraine — компанія у сфері Фармацевтика. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
bdo-ukraine,BDO Ukraine,Консалтинг,,"BDO Ukraine — компанія у сфері Консалтинг. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
beetroot,Beetroot,IT,,"Beetroot — компанія у сфері IT. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
beetroot-academy,Beetroot Academy,Освіта,,"Beetroot Academy — компанія у сфері Освіта. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
bershka-ukraine,Bershka Ukraine,Ритейл,,"Bershka Ukraine — компанія у сфері Ритейл. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
betterme,BetterMe,IT,,"BetterMe — компанія у сфері IT. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
biglua,Bigl.ua,E-commerce,,"Bigl.ua — компанія у сфері E-commerce. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
binariks,Binariks,IT,,"Binariks — компанія у сфері IT. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
binotel,Binotel,Послуги,Київ,"Binotel — компанія у сфері Послуги. Компанія вказана з містом: Київ. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
blago-developer,blago developer,Нерухомість,,"blago developer — компанія у сфері Нерухомість. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
bmw-ukraina,BMW Україна,Авто,,"BMW Україна — компанія у сфері Авто. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
bolt-food,Bolt Food,Логістика і доставка,Київ,"Bolt Food — компанія у сфері Логістика і доставка. Компанія вказана з містом: Київ. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
bolt-food-ukraine,Bolt Food Ukraine,IT,,"Bolt Food Ukraine — компанія у сфері IT. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
bolt-ukraina,Bolt Україна,Транспорт / сервіс,Україна,"Bolt Україна — компанія у сфері Транспорт / сервіс. Компанія вказана з містом: Україна. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
bosch-car-service-ukraine,Bosch Car Service Ukraine,Авто,,"Bosch Car Service Ukraine — компанія у сфері Авто. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
brain,Brain,Ритейл електроніки,Україна,"Brain — компанія у сфері Ритейл електроніки. Компанія вказана з містом: Україна. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
brightgrove,Brightgrove,IT,,"Brightgrove — компанія у сфері IT. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
british-american-tobacco-ukraine,British American Tobacco Ukraine,FMCG,,"British American Tobacco Ukraine — компанія у сфері FMCG. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
british-council-ukraine,British Council Ukraine,Освіта,,"British Council Ukraine — компанія у сфері Освіта. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
brocard,Brocard,Ритейл,,"Brocard — компанія у сфері Ритейл. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
budhouse-group,Budhouse Group,Нерухомість,,"Budhouse Group — компанія у сфері Нерухомість. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
bunge-ukraine,Bunge Ukraine,Виробництво,,"Bunge Ukraine — компанія у сфері Виробництво. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
caparol-ukraine,Caparol Ukraine,Будівництво,,"Caparol Ukraine — компанія у сфері Будівництво. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
carlsberg-ukraine,Carlsberg Ukraine,FMCG,,"Carlsberg Ukraine — компанія у сфері FMCG. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
cases-media,Cases Media,Media,,"Cases Media — компанія у сфері Media. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
cbre-ukraine,CBRE Ukraine,Нерухомість,,"CBRE Ukraine — компанія у сфері Нерухомість. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
cemark,CEMARK,Будівництво,,"CEMARK — компанія у сфері Будівництво. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
cersanit-ukraine,Cersanit Ukraine,Будівництво,,"Cersanit Ukraine — компанія у сфері Будівництво. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
chi-software,CHI Software,IT,,"CHI Software — компанія у сфері IT. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
choice31,Choice31,Освіта,,"Choice31 — компанія у сфері Освіта. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
ciklum,Ciklum,IT,,"Ciklum — компанія у сфері IT. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
citrus,Citrus,Ритейл електроніки,Україна,"Citrus — компанія у сфері Ритейл електроніки. Компанія вказана з містом: Україна. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
city-one-development,City One Development,Нерухомість,,"City One Development — компанія у сфері Нерухомість. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
civitta-ukraine,CIVITTA Ukraine,Консалтинг,,"CIVITTA Ukraine — компанія у сфері Консалтинг. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
clarity-project,Clarity Project,Консалтинг,,"Clarity Project — компанія у сфері Консалтинг. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
cms-ukraine,CMS Cameron McKenna Nabarro Olswang Ukraine,Юридичні послуги,,"CMS Cameron McKenna Nabarro Olswang Ukraine — компанія у сфері Юридичні послуги. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
coca-cola-hbc-ukraine,Coca-Cola HBC Ukraine,FMCG,,"Coca-Cola HBC Ukraine — компанія у сфері FMCG. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
coca-cola-hbc-ukraina,Coca-Cola HBC Україна,Виробництво,Київ,"Coca-Cola HBC Україна — компанія у сфері Виробництво. Компанія вказана з містом: Київ. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
coffee-life,Coffee Life,HoReCa,,"Coffee Life — компанія у сфері HoReCa. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
colins-ukraine,Colin's Ukraine,Ритейл,,"Colin's Ukraine — компанія у сфері Ритейл. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
colliers-ukraine,Colliers Ukraine,Нерухомість,,"Colliers Ukraine — компанія у сфері Нерухомість. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
comfy,Comfy,Ритейл,,"Comfy — компанія у сфері Ритейл. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
competera,Competera,IT,,"Competera — компанія у сфері IT. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
continental-farmers-group,Continental Farmers Group,Агро,,"Continental Farmers Group — компанія у сфері Агро. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
corevalue,CoreValue,IT,,"CoreValue — компанія у сфері IT. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
corteva-agriscience-ukraine,Corteva Agriscience Ukraine,Агро,,"Corteva Agriscience Ukraine — компанія у сфері Агро. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
cosmonova,Cosmonova,Telecom,,"Cosmonova — компанія у сфері Telecom. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
coursera-for-ukraine,Coursera for Ukraine,Освіта,,"Coursera for Ukraine — компанія у сфері Освіта. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
crafta,Crafta,E-commerce,,"Crafta — компанія у сфері E-commerce. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
credit-agricole,Credit Agricole,Банки і фінанси,Київ,"Credit Agricole — компанія у сфері Банки і фінанси. Компанія вказана з містом: Київ. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
credit-agricole-ukraina,Credit Agricole Україна,Банки,Україна,"Credit Agricole Україна — компанія у сфері Банки. Компанія вказана з містом: Україна. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
csd-lab,CSD Lab,Медицина,,"CSD Lab — компанія у сфері Медицина. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
cushman-wakefield-ukraine,Cushman & Wakefield Ukraine,Нерухомість,,"Cushman & Wakefield Ukraine — компанія у сфері Нерухомість. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
cygnet,Cygnet,Агро,,"Cygnet — компанія у сфері Агро. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
dan-it-education,DAN.IT Education,Освіта,,"DAN.IT Education — компанія у сфері Освіта. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
danone-ukraine,Danone Ukraine,FMCG,,"Danone Ukraine — компанія у сфері FMCG. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
danone-ukraina,Danone Україна,Виробництво,Україна,"Danone Україна — компанія у сфері Виробництво. Компанія вказана з містом: Україна. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
dataart,DataArt,IT,,"DataArt — компанія у сфері IT. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
datagroup,Datagroup,Telecom,,"Datagroup — компанія у сфері Telecom. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
daxx,Daxx,IT,,"Daxx — компанія у сфері IT. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
db-schenker-ukraine,DB Schenker Ukraine,Логістика,,"DB Schenker Ukraine — компанія у сфері Логістика. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
decathlon-ukraine,Decathlon Ukraine,Ритейл,,"Decathlon Ukraine — компанія у сфері Ритейл. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
defacto-ukraine,DeFacto Ukraine,Ритейл,,"DeFacto Ukraine — компанія у сфері Ритейл. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
delivery,Delivery,Логістика,,"Delivery — компанія у сфері Логістика. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
delivery-auto,Delivery Auto,Логістика,Україна,"Delivery Auto — компанія у сфері Логістика. Компанія вказана з містом: Україна. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
deloitte-ukraine,Deloitte Ukraine,Консалтинг,,"Deloitte Ukraine — компанія у сфері Консалтинг. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
delta-wilmar-ukraine,Delta Wilmar Ukraine,Виробництво,,"Delta Wilmar Ukraine — компанія у сфері Виробництво. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
denka-logistics,Denka Logistics,Логістика,,"Denka Logistics — компанія у сфері Логістика. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
dentons-ukraine,Dentons Ukraine,Юридичні послуги,,"Dentons Ukraine — компанія у сфері Юридичні послуги. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
detector-media,Detector Media,Media,,"Detector Media — компанія у сфері Media. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
devpro,Dev.Pro,IT,,"Dev.Pro — компанія у сфері IT. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
dhl-ukraine,DHL Ukraine,Логістика,,"DHL Ukraine — компанія у сфері Логістика. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
dim,DIM,Нерухомість,,"DIM — компанія у сфері Нерухомість. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
djinni,Djinni,Media,,"Djinni — компанія у сфері Media. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
dominos-pizza,Domino's Pizza,Ресторани і фастфуд,,"Domino's Pizza — компанія у сфері Ресторани і фастфуд. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
dominos-pizza-ukraine,Domino's Pizza Ukraine,HoReCa,,"Domino's Pizza Ukraine — компанія у сфері HoReCa. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
domino-s-pizza-ukraina,Dominoʼs Pizza Україна,HoReCa,Україна,"Dominoʼs Pizza Україна — компанія у сфері HoReCa. Компанія вказана з містом: Україна. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
dou,DOU,Media,,"DOU — компанія у сфері Media. На сторінці можна переглянути відкриті факти, вакансії та анонімні відгуки користувачів.",needs_verification,false,rule-based neutral draft; review before publishing
